Property Name,Purchase Entire Building?,Vacant?,Zoning,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
1748 W North Ave,Y,N,,On-Market,"Mixed Use, Multifamily",1748 W North Ave,Chicago,IL,60622,Multi,,,8600,$430.23 ,7,"$528,571.43 ","$241,353.00 ",6.52%,"$3,700,000.00 ",341,No,-87.67203279,41.9105992
43rd Street Market Place,Y,N,,On-Market,"Mixed Use, Multifamily, Retail",63 E 43rd St,Chicago,IL,60653,Multi,1,,8520,$106.81 ,9,"$101,111.11 ","$73,612.00 ",8.09%,"$910,000.00 ",221,No,-87.62357752,41.81650991
AbsoluteCare Chicago,Y,N,,On-Market,"Office, Retail",2627 W Cermak Rd,Chicago,IL,60608,Single,10,10,8156,,,,"$285,460.00 ",7.50%,"$3,806,133.00 ",65,Yes,-87.6919023,41.8516779
4515 North Ravenswood Avenue,Y,Y,M1-2,On-Market,"Retail, Office",4515 N Ravenswood Ave,Chicago,IL,60640,Vacant,,,8000,,,,,,,57,No,-87.6736065,41.9639448
1438-40 W Lake,Y,Y,PMD-4B,On-Market,"Office, Industrial",1438-40 W Lake Street,Chicago,IL,60607,Vacant,,,8000,,,,,,,33,No,-87.6639257,41.8856235
2706 N Halsted St commercial storefronts,N,N,,On-Market,"Retail, Office",2706 N Halsted St,Chicago,IL,60614,Multi,,,7700,,54,,"$213,000.00 ",7.20%,"$2,950,000.00 ",555,No,-87.64896283,41.93167344
1329 W 18th St  Renovated Mixed-use,Y,N,C1-2,On-Market,"Mixed Use, Multifamily",1329 W 18th St,Chicago,IL,60608,Multi,,,7600,$201.97 ,6,,,,"$1,450,000.00 ",578,No,-87.66001213,41.85787404
The 1900 Block Portfolio  2 Buildings on Chicago Ave,Y,N,B3-2,On-Market,"Mixed Use, Multifamily, Retail",1912 W Chicago Ave,Chicago,IL,60622,Multi,,,7589,$276.45 ,4,,,,"$2,098,000.00 ",240,No,-87.67537027,41.89596089
"3014 W Irving Park Road, Chicago, IL",Y,N,,On-Market,"Retail, Multifamily, Mixed Use, Special Purpose",3014 W Irving Park Rd,Chicago,IL,60618,Multi,,,7267,$151.37 ,3,,,,"$1,100,000.00 ",1488,No,-87.70373372,41.95391593
Mixed Use - Insomnia Cookies  3 4BR2BA Apts - Near UIC,Y,N,B3-3,On-Market,"Mixed Use, Multifamily, Retail",1335 W Taylor St,Chicago,IL,60607,Multi,,8.2,7220,$359.97 ,4,"$649,750.00 ","$163,750.00 ",6.30%,"$2,599,000.00 ",320,No,-87.66047157,41.86934263
3219 N. Clark St  Retail Property,Y,N,B1-3,On-Market,"Office, Retail",3219 N Clark St,Chicago,IL,60657,Single,,,6992,$321.80 ,1,,"$190,177.00 ",8.45%,"$2,250,000.00 ",226,No,-87.6508108,41.9405805
La Familia Wellness Center,Y,N,B3-1,On-Market,Office,5241 S Cicero Ave,Chicago,IL,60632,Multi,,,6846,,3,,,7.83%,"$775,000.00 ",51,No,-87.7427626,41.79746322
"Renovated 6 Unit w Strong Cash Flow, Ultra Low Taxes",Y,N,r6,On-Market,"Mixed Use, Multifamily, Office, Retail",1721 W 65th St,Chicago,IL,60636,Multi,1,,6200,$87.90 ,6,"$90,833.33 ","$77,365.00 ",14.20%,"$545,000.00 ",202,Yes,-87.6675198,41.7756571
5233-5239 N Damen Ave,Y,N,,On-Market,"Mixed Use, Multifamily, Retail",5233-5239 N Damen Ave,Chicago,IL,60625,Multi,,,6148,,6,"$191,667.00 ",,,"$1,095,000.00 ",144,No,-87.6794566,41.97697247
Turnkey 4-Unit West Loop Opportunity,Y,N,,On-Market,"Mixed Use, Multifamily, Retail",1041 W Madison St,Chicago,IL,60607,Multi,,,6100,,4,,,,"$2,400,000.00 ",158,No,-87.65365284,41.88171465
421 N Aberdeen 1 of 5 Adjacent Parcels in Fulton Market,Y,Y,M2-3,On-Market,"Retail, Office, Industrial, Mixed Use",421 N Aberdeen St,Chicago,IL,60642,Vacant,,,5330,,,,,,"$1,350,000.00 ",55,No,-87.65461324,41.88965924
The Last Louis Sullivan,Y,N,,On-Market,Office,4611 N Lincoln Ave,Chicago,IL,60625,Multi,,,5030,,,,"$86,057.00 ",4.78%,"$1,800,000.00 ",638,No,-87.6861021,41.965301
3824 N Clark Street,Y,N,B3-2,On-Market,"Mixed Use, Multifamily, Office, Retail",3824 N Clark St,Chicago,IL,60613,Multi,,,4686,$319.68 ,4,,"$109,828.00 ",7.33%,"$1,498,000.00 ",221,No,-87.66021103,41.9517681
3-Unit Mixed-Use Building,Y,N,,On-Market,"Mixed Use, Multifamily, Retail",1934 W Chicago Ave,Chicago,IL,60622,Multi,,,4560,$349.12 ,3,,,7.30%,"$1,592,000.00 ",236,No,-87.67600499,41.89591791
Redevelopment Opportunity Building  Land for Sale 60630,Y,Y,B3-2,On-Market,"Mixed Use, Multifamily, Retail",4774 N Milwaukee Ave,Chicago,IL,60630,Vacant,,,4500,,3,,,,"$999,000.00 ",173,No,-87.7606114,41.967336
3916 N Broadway,N,N,,On-Market,"Office, Retail",3916 North Broadway,Chicago,IL,60613,Multi,5,5,4000,$375.00 ,,,"$110,200.00 ",7.35%,"$1,500,000.00 ",171,No,-87.6499153,41.9532092
2143 W. 51st Place,N,N,,On-Market,"Office, Land",2143 W. 51st Place,Chicago,IL,60609,Multi,,,4000,,,,,,,1290,Yes,-87.6790355,41.8009593
"Compass, Inc.  Chicago, IL",Y,N,,On-Market,"Office, Retail",55 E Erie St,Chicago,IL,60611,Single,7,6.2,3979,$730.32 ,1,,"$217,946.00 ",7.50%,"$2,905,947.00 ",58,No,-87.62651623,41.89409721
4345 N Lincoln Ave,Y,N,B1-2,On-Market,"Retail, Multifamily, Office, Mixed Use",4345 N Lincoln Ave,Chicago,IL,60618,Multi,,,3772,$343.32 ,3,,,,"$1,295,000.00 ",16,No,-87.6831467,41.9608254
5143 N Clark Street,Y,N,,On-Market,"Mixed Use, Multifamily, Retail",5143 N Clark St,Chicago,IL,60640,Multi,,,3600,,3,,"$78,357.00 ",7.16%,"$1,095,000.00 ",388,No,-87.6678801,41.9756168
705 N. Milwaukee Ave.,Y,Y,C1-3,On-Market,Office,705 N Milwaukee Ave,Chicago,IL,60642,Single,,,3600,$229.17 ,1,,,,"$825,000.00 ",727,No,-87.65257597,41.89438597
5742 W Chicago Ave,Y,N,B3-2,On-Market,"Mixed Use, Office, Retail",5742 W Chicago Ave,Chicago,IL,60651,Multi,,,3223,$124.11 ,4,,,,"$375,000.00 ",20,Yes,-87.7695697,41.89499
Gateway Commons Commercial Condo,Y,Y,C1-1,On-Market,"Office, Retail",2301 W Belmont Ave,Chicago,IL,60618,Vacant,5,,3100,$161.29 ,2,,,,"$500,000.00 ",143,No,-87.68579536,41.93946877
